original_language,original_title,release_date,revenue,runtime
en,Avatar,2009-12-10,2787965087,162
en,Pirates of the Caribbean: At World's End,2007-05-19,961000000,169
en,Spectre,2015-10-26,880674609,148
en,The Dark Knight Rises,2012-07-16,1084939099,165
en,John Carter,2012-03-07,284139100,132
en,Spider-Man 3,2007-05-01,890871626,139
en,Tangled,2010-11-24,591794936,100
en,Avengers: Age of Ultron,2015-04-22,1405403694,141
en,Harry Potter and the Half-Blood Prince,2009-07-07,933959197,153
en,Batman v Superman: Dawn of Justice,2016-03-23,873260194,151
en,Superman Returns,2006-06-28,391081192,154
en,Quantum of Solace,2008-10-30,586090727,106
en,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,1065659812,151
en,The Lone Ranger,2013-07-03,89289910,149
en,Man of Steel,2013-06-12,662845518,143
en,The Chronicles of Narnia: Prince Caspian,2008-05-15,419651413,150
en,The Avengers,2012-04-25,1519557910,143
en,Pirates of the Caribbean: On Stranger Tides,2011-05-14,1045713802,136
en,Men in Black 3,2012-05-23,624026776,106
en,The Hobbit: The Battle of the Five Armies,2014-12-10,956019788,144
en,The Amazing Spider-Man,2012-06-27,752215857,136
en,Robin Hood,2010-05-12,310669540,140
en,The Hobbit: The Desolation of Smaug,2013-12-11,958400000,161
en,The Golden Compass,2007-12-04,372234864,113
en,King Kong,2005-12-14,550000000,187
